country,total_population,pop_under_18,pop_under_5,an_pop_growth_2000_2020,an_pop_growth_2020_2030,,total_fertility,life_exp_1970,life_exp_2000,life_exp_2021,dep_ratio_total,dep_ratio_child,dep_ratio_oldage,urban_pop_share,ann_growth_rate_2000_2020,ann_growth_rate_2020_2030,,net_mig_rate,under_five_mort_1990,under_five_mort_1992,under_five_mort_1994,under_five_mort_1996,under_five_mort_1998,under_five_mort_2000,under_five_mort_2002,under_five_mort_2004,under_five_mort_2006,under_five_mort_2008,under_five_mort_2010,under_five_mort_2012,under_five_mort_2014,under_five_mort_2016,under_five_mort_2018,under_five_mort_2020,under_five_mort_2022,under_five_mort_2024,female_life_exp_2021,materal_universal_health_2019,family_planning_demand_2016_2021,antenatal_care_1_visit,antenatal_care_4_visit,per_birth_attendent,per_inst_delivery,per_c_section,num_materal_deaths,maternal_mort_ratio,total_ece_attendence,male_ece_attendance,female_ece_attendance,low20_ece_attend,high20_ece_attend,total_earlystim,male_earlystim,female_earlystim,low20_earlystim,high20_earlystim,books_athome,toys_athome,total_inq_sup,male_inq_sup,female_inq_sup,low20_inq_sup,high20_inq_sup,total_development_ontrack,male_development_ontrack,female_development_ontrack,low20_development_ontrack,high20_development_ontrack,oos_ male_age_beforeprimary,oos_female_age_beforeprimary,oos_male_primaryrate,oos_female_primaryrate,oos_male_lowsecrate,oos_female_lowsecrate,oos_male_upsecrate,oos_female_upsecrate,male_primary_complrate,female_primary_complrate,male_lowsec_complrate,female_lowsec_complrate,male_upsec_complrate,female_upsec_complrate,lo_grade3_prof_read,lo_grade3_prof_math,lo_endprim_prof_read,lo_endprim_prof_math,lo_lowsec_prof_read,lo_lowsec_prof_math,youth_lit_rate_male,youth_lit_rate_female,child_labor_total,child_labor_male,child_labor_female,child_marriage_female,child_marriage_male,child_under1_total,child_under5_total,child_under5_male,child_under5_female,mother_nb_cb,prop_child_socoprotect,bottom40_socoprotect_bene,top20_socoprotect_bene,bottom20_socoprotect_bene,bottom40_householdincomeshare,top20_householdincomeshare,bottom20_householdincomeshare,gini_coef,palma_index,vmr_ratio,gdp_percaptia,sigi_index,gender_eq_legal,maternity_leave,paternity_leave,ed_attan_us_male,ed_attan_us_female,rural_lf_part_rate_male,urban_lf_part_rate_male,total_lf_part_rate_male,rural_lf_part_rate_female,urban_lf_part_rate_female,total_lf_part_rate_female,rural_unemploy_male,urban_unemploy_male,total_unemploy_male,rural_unemploy_female,urban_unemploy_female,total_unemploy_female,male_mobilephone,female_mobilephone,finanical_inclusion_male,finanical_inclusion_female,unpaid_time_use_male,unpaid_time_use_female
Afghanistan,40099,20298,6491,3,2,1441,5,37,55,62,85,80,4,26,4,3,,-5,178,129,56,4,59,52,121,43,74,61,34,19,4,35,26,2,77811,49061,65,37,42,65,28,62,63,7,8700,620,1,1,1,0,4,73,74,73,72,80,2,53,40,42,39,43,27,-,-,-,-,-,-,-,-,-,-,-,44,69,67,40,49,26,32,14,-,-,-,-,-,-,71,42,13,14,12,28,7,51,42,43,42,2,0,-,-,-,-,-,-,31,-,-,507,Very high,-,No,Yes,12,5,75,72,75,24,17,22,10,12,10,8,35,14,-,-,23,7,-,-
Albania,2855,574,141,0,0,29,1,65,75,76,48,24,24,63,1,1,,-4,41,27,9,5,10,9,35,8,13,12,7,6,2,7,4,2,279,209,79,62,6,88,78,100,99,31,2,8,73,73,73,62,88,78,75,80,57,88,32,53,7,7,6,9,3,-,-,-,-,-,4,2,6,2,5,1,22,15,94,96,98,97,76,80,-,-,-,62,48,58,99,100,3,4,3,12,1,98,98,99,98,-,-,46,14,28,20,41,8,33,1,1,5353,Low,-,Yes,Yes,46,44,64,70,68,50,54,53,10,13,12,9,12,11,-,-,-,-,-,-
Algeria,44178,15526,4871,2,1,951,3,43,70,76,58,49,10,74,3,2,,0,52,42,22,3,24,21,44,19,24,22,16,9,3,20,10,3,21567,14888,78,75,77,95,70,99,99,25,760,78,14,14,15,6,26,61,60,62,48,77,8,49,13,13,12,13,13,77,74,79,70,85,-,-,-,-,-,-,-,-,93,96,60,78,35,59,-,-,-,-,21,19,98,97,3,3,2,4,-,99,100,100,100,11,-,-,-,-,23,37,9,28,1,1,3974,-,-,Yes,Yes,28,23,74,65,68,13,19,17,8,11,10,19,21,20,93,83,56,29,-,-
Andorra,79,13,3,1,0,1,1,74,81,80,38,18,20,88,1,0,,18,13,8,3,5,3,2,9,3,7,4,1,3,1,4,2,2,2,1,84,-,-,-,-,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,100,100,-,-,-,-,-,-,-,-,28,1,-,40886,-,-,-,-,48,47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Angola,34504,17833,5983,3,3,1339,5,40,46,62,91,87,5,67,5,3,,1,224,205,69,5,75,63,132,47,54,50,27,55,16,28,19,2,89896,35644,64,39,30,82,61,50,46,4,2900,222,11,10,11,7,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,39,-,-,-,-,-,-,63,57,42,32,24,15,-,-,-,-,-,-,-,-,19,17,20,30,6,12,25,25,25,-,-,-,-,-,12,56,4,51,3,1,2791,-,-,No,Yes,20,12,87,73,79,90,66,76,2,11,7,1,14,7,78,80,36,22,-,-
Anguilla,16,3,1,2,0,0,1,65,76,77,39,24,14,100,2,0,,7,17,10,4,4,4,4,14,4,9,5,2,3,1,-,-,-,1,0,80,-,-,-,-,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,73,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Antigua and Barbuda,93,21,5,1,0,1,2,70,75,78,41,27,14,24,0,1,,0,14,16,6,4,7,6,11,5,8,10,3,3,2,9,5,3,7,4,81,72,-,100,100,99,-,-,0,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,4,2,2,2,3,12,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37,-,-,-,-,-,-,-,-,-,-,17113,-,-,No,No,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Argentina,45277,12669,3333,1,1,629,2,66,74,75,54,36,18,92,1,1,,0,29,20,7,5,8,6,25,6,15,11,5,3,1,8,4,3,4410,3232,79,73,-,95,90,99,100,47,290,45,64,63,66,59,84,85,83,88,77,94,48,88,6,6,6,7,3,86,85,87,83,88,1,0,-,-,1,1,15,7,96,98,74,85,54,66,-,-,-,-,48,31,99,100,-,-,-,15,-,99,100,100,99,32,80,75,6,49,14,48,5,42,2,1,9912,-,-,No,Yes,32,36,69,75,73,49,53,51,7,10,9,9,12,11,-,-,-,-,-,-
Armenia,2791,669,183,-1,0,34,2,64,71,72,50,31,19,63,-1,0,,-5,49,31,11,5,12,10,42,10,23,16,6,3,2,20,11,3,372,190,77,69,40,100,96,100,99,18,10,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36,38,11,10,11,9,13,1,99,99,95,99,69,79,-,-,-,64,-,50,100,100,4,5,3,5,0,100,99,99,99,62,30,58,9,36,22,39,9,34,1,1,4623,Low,80,Yes,No,90,90,68,63,65,49,39,43,11,23,18,11,27,20,76,77,56,41,-,-
Australia,25921,5667,1537,1,1,298,2,71,80,85,54,28,25,86,2,1,,5,9,6,4,2,4,3,8,3,5,4,2,2,1,4,2,2,1111,706,86,87,-,98,92,99,99,31,9,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,18,1,2,2,2,9,6,-,-,-,-,-,-,94,70,-,68,80,78,-,-,-,-,-,-,-,-,100,100,100,100,100,-,-,-,20,42,7,33,1,1,55057,Very low,-,Yes,Yes,81,79,68,73,71,58,62,61,4,6,5,4,6,5,-,-,-,-,-,-
